wall_time,split,epoch,step,lr,total,pep_coord,mhc_coord,torsion,plddt,pep_plddt,pep_ca_rmsd,mhc_ca_rmsd
1782094877.7895424,train,32,950,0.0001332011813722979,0.2442103773355484,0.1461968570947647,0.24688898026943207,0.07225464284420013,0.0016395485727116466,0.006986857857555151,,
1782094887.277218,train,32,1000,0.00013319173042583397,0.2685913145542145,0.16687850654125214,0.2708751857280731,0.06765789538621902,0.0016508830012753606,0.007397426292300224,,
1782094896.7057846,train,32,1050,0.00013318227914618276,0.2037920355796814,0.12626703083515167,0.18964841961860657,0.05997830256819725,0.0012374273501336575,0.007627955637872219,,
1782094906.2121837,train,32,1100,0.00013317282753343919,0.2619291841983795,0.14477641880512238,0.3143373429775238,0.07674925029277802,0.0019381880993023515,0.007422204595059156,,
1782094915.5890193,train,32,1150,0.00013316337558769818,0.21859706938266754,0.13632553815841675,0.20180284976959229,0.06348728388547897,0.0007717378903180361,0.005108444485813379,,
1782094925.127682,train,32,1200,0.00013315392330905476,0.2451052963733673,0.15566939115524292,0.21605950593948364,0.07059775292873383,0.0012216668110340834,0.006744557060301304,,
1782094934.5741818,train,32,1250,0.00013314447069760348,0.35596275329589844,0.23738166689872742,0.3471476435661316,0.06328168511390686,0.001533512957394123,0.007633407600224018,,
1782094944.0219512,train,32,1300,0.00013313501775343944,0.22959944605827332,0.11746819317340851,0.31493091583251953,0.06642696261405945,0.001850478700362146,0.007968096062541008,,
1782094953.4434144,train,32,1350,0.00013312556447665728,0.2393495738506317,0.1316709965467453,0.29530230164527893,0.0674416571855545,0.0013217248488217592,0.007487223483622074,,
1782094962.8609889,train,32,1400,0.00013311611086735226,0.25739914178848267,0.17423772811889648,0.195598304271698,0.06831809878349304,0.0010279814014211297,0.005730140022933483,,
1782094972.3032622,train,32,1450,0.00013310665692561907,0.20229385793209076,0.10690657794475555,0.24024882912635803,0.07041716575622559,0.0011648234212771058,0.007275107316672802,,
1782094981.7588623,train,32,1500,0.0001330972026515526,0.25828999280929565,0.15648230910301208,0.273338258266449,0.06669554114341736,0.001253411523066461,0.006345899309962988,,
1782094991.1356122,train,32,1550,0.00013308774804524784,0.3795025050640106,0.26589930057525635,0.3298461437225342,0.06204282119870186,0.0012023814488202333,0.005644981749355793,,
1782095000.4940324,train,32,1600,0.00013307829310679967,0.25447893142700195,0.16791388392448425,0.2245868295431137,0.0605945847928524,0.0012106560170650482,0.008301838301122189,,
